1,At quaerat nisi quis.,Maxime consequatur ab animi sapiente nemo nihil. Inventore consequuntur dolor quaerat adipisci. Illum consequuntur sint modi corrupti voluptatem.,Zajęcia dodatkowe,8,836,2023-10-03,2024-10-15,1,22
2,Labore non possimus nobis.,Eos a nisi voluptate amet enim eaque. At tempora fugiat alias doloremque iure repellendus. Nisi praesentium qui.,Diagnostyczny,36,4658,2022-12-09,2024-05-08,0,7
3,Esse expedita deleniti magni.,Quam laudantium maxime ipsum dolor culpa laudantium. Expedita veritatis unde provident culpa impedit tempora. Delectus facilis magni optio.,Inne,60,6609,2023-03-09,2024-08-19,1,6
4,Veritatis ipsum quisquam.,"Voluptates voluptas tenetur consectetur sunt accusamus quas.
Voluptatum aliquid fugiat optio exercitationem. Voluptatum illo quos.",Roczny,54,3754,2022-05-15,2022-09-10,1,5
5,Quos cum minima perferendis.,"Quasi maxime consectetur laboriosam voluptas. Quod deserunt sint quae nemo incidunt.
Fugiat dolorum nobis amet.",Zajęcia dodatkowe,26,4708,2023-01-28,2023-08-21,1,26
6,Cum natus in eligendi.,"Commodi tenetur non asperiores. Officiis dolorem nemo aut. Vero quod quisquam facere officia aliquam.
Earum tempora doloremque ratione unde odit. Eveniet debitis minus laborum modi.",Diagnostyczny,13,1504,2022-06-14,2023-07-23,0,19
7,Hic placeat asperiores ullam.,"Alias ratione ullam laboriosam consequatur optio. Nostrum qui illo officiis totam minima esse eos.
Nemo praesentium veritatis nobis atque sunt assumenda. Rem nesciunt eos veniam commodi inventore.",Inne,50,1046,2021-12-05,2022-11-27,0,8
8,Minus nulla totam ab iste.,Doloribus error dolor quia maxime. Quas eius aperiam vero optio nobis unde. Sint dignissimos corporis tempora dignissimos illo. Vel expedita temporibus fuga ab at officiis.,Inne,13,121,2022-09-12,2023-07-11,1,6
9,Nulla ut et earum odit.,"Nam corporis harum tenetur. Dolorum fuga quae nostrum inventore ab temporibus soluta.
Pariatur quisquam nostrum. Veritatis consequatur vel soluta.",Zajęcia dodatkowe,14,1666,2023-12-03,2024-10-08,1,30
10,Temporibus nam cumque.,"Ut debitis dolor facere dolorem id sit. Ab delectus fuga sint voluptatem. Suscipit ad expedita.
Impedit eum quae reprehenderit laborum ullam rem. Saepe recusandae amet a occaecati sequi.",Roczny,30,1976,2024-07-05,2024-09-15,0,30
11,Nam ut rerum.,Quia veniam eaque ipsam nesciunt. Praesentium asperiores illo labore quidem atque expedita.,Roczny,51,881,2024-10-09,2024-10-12,1,9
12,Nam occaecati ut harum.,Accusamus dicta possimus amet quia dolores amet. Maiores totam sed placeat.,Diagnostyczny,28,127,2022-01-24,2024-09-30,1,5
13,Ipsum et recusandae delectus.,Iure asperiores quam nisi ab corrupti non. Nostrum earum quo nemo atque. Alias labore optio autem.,Inne,7,605,2023-06-28,2024-10-06,0,24
14,Libero iste sit quaerat eum.,Molestiae odio voluptatem doloremque voluptates corrupti molestiae. Totam inventore aut incidunt.,Roczny,43,3823,2022-02-02,2022-08-29,1,18
15,Vel ipsam commodi.,Iure rerum enim voluptate. Voluptas quisquam quod minima fugit dolores ullam. Excepturi repudiandae molestiae perferendis sed repellendus facere.,Diagnostyczny,47,8354,2024-07-20,2024-09-04,1,11
16,Quia facere accusantium esse.,"Animi sapiente cum eaque. Fugit eius sequi impedit ipsa.
Deserunt expedita minima nisi non blanditiis distinctio. Suscipit nemo atque facilis autem repellat. Ut nostrum doloribus dignissimos minus.",Semestralny,38,2418,2024-08-31,2024-09-24,1,18
17,Mollitia ipsum id eos.,Libero corrupti perspiciatis. Aut occaecati tempore nostrum facere. Molestias explicabo laboriosam accusantium nostrum accusamus fugit.,Diagnostyczny,58,6625,2022-06-25,2022-11-16,0,19
18,Numquam totam qui.,Architecto vitae quo atque perspiciatis. Asperiores adipisci explicabo aut molestias. Doloremque illo dignissimos a impedit. Expedita necessitatibus cupiditate tenetur.,Diagnostyczny,38,1682,2022-03-10,2024-10-06,0,23
19,Dicta odio aliquam eius unde.,Corrupti magnam laboriosam. Doloremque libero autem voluptas. Nihil aperiam tempore voluptate sequi.,Inne,56,5161,2023-01-09,2023-01-26,0,17
20,Esse ab corporis.,Placeat et totam maiores necessitatibus perspiciatis. Soluta laudantium ab earum. Totam quae aspernatur nostrum nobis labore.,Zajęcia dodatkowe,6,572,2024-07-18,2024-09-16,0,27
21,Animi vitae beatae.,"Quis modi quam. Minima amet eos error adipisci cumque laudantium. Ipsam molestiae ullam dolore.
Fugiat totam exercitationem voluptas incidunt vel. Itaque vero consequuntur odio.",Zajęcia dodatkowe,52,2922,2024-02-24,2024-04-10,1,11
22,Molestias voluptas dolores.,"Sed recusandae quo provident atque distinctio labore.
Sapiente nostrum reiciendis saepe assumenda explicabo cumque. Odit maxime voluptatibus. Iste corrupti corrupti eaque tempora maxime.",Semestralny,27,1060,2023-03-09,2024-05-15,0,15
23,Atque quibusdam consequuntur.,"Quos nesciunt excepturi perferendis occaecati assumenda quasi. Nisi sed doloribus explicabo earum amet fugiat.
Ex cumque nostrum sint nihil. Tenetur tenetur vitae facere molestias ipsa quos.",Roczny,51,906,2023-09-15,2024-02-18,1,9
24,Soluta consectetur repellat.,Quibusdam illo reiciendis voluptate sit alias iure ipsa. Magni eos minima perspiciatis.,Zajęcia dodatkowe,30,1011,2023-09-27,2023-11-19,0,27
25,Nisi id provident numquam.,Libero harum cumque deserunt repellat. Porro facilis est tempora incidunt nesciunt dignissimos.,Semestralny,4,66,2023-04-15,2024-03-13,1,28
26,Ab nostrum neque.,"Quae molestias nisi officia similique temporibus. Ducimus expedita aspernatur. Optio nihil tenetur at vero.
Molestiae ab fugiat beatae. Earum nobis veniam eum.",Roczny,48,4358,2021-12-02,2024-09-10,1,28
27,Ab esse dicta facere nobis.,Accusantium perspiciatis officia occaecati optio nam. Exercitationem possimus veniam sunt inventore. Unde saepe ab ipsa vero vero at. Recusandae magnam expedita a maiores omnis dolore.,Semestralny,19,999,2022-01-29,2022-04-09,1,11
28,Dolores magni quos.,Debitis repudiandae quod quos eaque magni repellendus illum. Vel facilis earum voluptates aspernatur non.,Zajęcia dodatkowe,41,8013,2022-01-10,2022-02-16,1,29
