1,Mikołaj,Saczuk,sasiadektomasz@example.net,+48 735 301 182,Machine Learning,8
2,Juliusz,Wołk,gustaw64@example.net,515 236 046,Unity,2
3,Kaja,Dudziec,emil75@example.org,+48 570 864 843,Java,7
4,Aurelia,Polaszek,urszulajanoszka@example.com,+48 724 587 455,C++,3
5,Paweł,Palica,andrzejbojarczuk@example.com,+48 506 915 545,Java,8
6,Mariusz,Sośniak,kamilaotremba@example.org,+48 506 840 916,C++,10
7,Artur,Podeszwa,ukopczyk@example.net,780 837 176,C++,2
8,Jacek,Mysior,epaprotny@example.org,+48 667 831 754,Machine Learning,5
9,Jan,Foremniak,ltymczyszyn@example.net,+48 22 461 74 54,Java,3
10,Leonard,Węgrzyk,gabrielwasyluk@example.net,+48 696 738 235,Machine Learning,4
11,Maks,Cieciura,klarasamiec@example.org,+48 22 279 58 49,C#,10
12,Julianna,Kryk,dariusz54@example.org,697 825 050,C#,3
13,Przemysław,Berg,tola02@example.org,692 008 136,C#,10
14,Malwina,Palonek,celucholga@example.com,886 285 847,C++,7
15,Marianna,Witos,piotrdrej@example.net,+48 697 243 606,Unity,4
16,Marek,Florian,qbros@example.com,+48 502 179 709,Machine Learning,3
17,Kazimierz,Darul,nesterowiczbartek@example.com,22 434 38 57,C++,6
18,Jeremi,Koleśnik,sfrys@example.com,+48 574 950 005,C#,3
19,Natasza,Toczko,rzacapiotr@example.net,+48 697 307 058,Java,3
20,Olaf,Dziurdzia,stanislawwitko@example.net,+48 724 477 025,Python,6
21,Andrzej,Reimann,marcin59@example.com,+48 518 199 936,Python,5
22,Dorota,Oszust,gustawnikolajuk@example.net,888 179 202,Unity,8
23,Bianka,Pasztaleniec,radoslaw65@example.com,889 154 533,C++,3
24,Antoni,Ciaś,patrykkoterba@example.org,662 393 263,C#,2
25,Oskar,Jarema,tmaculewicz@example.org,+48 573 907 478,Java,6
26,Ewelina,Prokopczuk,nikodembandyk@example.org,+48 664 513 881,C#,9
27,Blanka,Krochmal,leonard45@example.org,22 480 54 76,Unity,10
28,Kaja,Chołody,robert80@example.net,+48 697 899 035,Python,6
29,Olaf,Suchojad,lukaszbernatek@example.com,696 081 559,Python,6
30,Oliwier,Nytko,tomasz29@example.net,797 309 270,Unity,5
31,Bianka,Staciwa,bziegler@example.com,+48 32 382 69 43,C#,5
32,Krystian,Kostorz,borysdrozdowicz@example.org,32 121 91 16,C#,1
33,Ksawery,Mytych,brunojaszcz@example.net,739 450 505,Java,1
34,Lidia,Bulak,karczmarzelzbieta@example.com,+48 798 885 523,Machine Learning,10
35,Natasza,Jędruszczak,kotttomasz@example.org,+48 574 274 412,Java,9
36,Mieszko,Bieniak,borysbarczuk@example.com,+48 22 079 39 46,Machine Learning,5
