1,Bianka,Wlizło,ewabryda@example.org,+48 518 046 141,C#,5
2,Aniela,Kosno,kocajtomasz@example.net,+48 732 174 972,Machine Learning,3
3,Malwina,Misior,mateusz75@example.com,504 737 909,Python,8
4,Nela,Gasek,uzachwieja@example.org,504 625 770,C++,1
5,Anita,Mironiuk,gorgolandrzej@example.net,+48 530 962 865,C++,2
6,Patryk,Molga,kucharzykkazimierz@example.net,789 787 120,C++,3
7,Borys,Zach,elizabruzda@example.com,+48 692 127 764,Java,7
8,Mateusz,Meler,kozubalszymon@example.org,+48 799 944 849,Java,9
9,Maciej,Ostafin,ewakokosza@example.com,886 317 242,C#,5
10,Konrad,Ulewicz,oliwier55@example.org,+48 723 534 868,Unity,10
11,Emil,Kasznia,janjarema@example.net,793 771 231,Machine Learning,4
12,Kajetan,Kociemba,mariuszbalawender@example.com,+48 533 432 813,Java,5
13,Eliza,Przekwas,karinatyma@example.org,+48 32 606 57 18,C++,8
14,Ignacy,Nagel,tymonjajko@example.org,730 301 705,Unity,7
15,Łukasz,Orszulik,nlokietek@example.net,511 004 414,Machine Learning,1
16,Malwina,Mieloch,pflaga@example.com,691 216 021,Machine Learning,10
17,Kazimierz,Majczyna,asadza@example.org,723 210 968,Java,1
18,Tola,Nikołajuk,anastazjapasierbek@example.org,+48 536 282 688,C++,3
19,Konrad,Biesek,ljacak@example.org,+48 539 052 605,Unity,3
20,Maksymilian,Węgrzyk,ebiegala@example.net,+48 22 906 38 09,C#,10
21,Ewa,Nijak,bjedraszczyk@example.org,517 678 212,Python,10
22,Roksana,Pitala,gramzafryderyk@example.org,+48 724 737 583,Unity,10
23,Inga,Galon,rozalia99@example.org,+48 668 544 074,Python,3
24,Marcel,Dytko,biankalabno@example.net,531 156 756,Unity,7
25,Albert,Getka,michal09@example.com,+48 519 943 603,Machine Learning,9
26,Piotr,Szumiec,skrobekoskar@example.org,+48 698 159 070,C++,2
27,Patryk,Chwedoruk,jakub55@example.org,22 382 23 59,Machine Learning,7
28,Roksana,Staręga,husada@example.net,699 196 452,Unity,5
